"method","nonextrapolatingmse","extrapolatingmse"
"Operational Upper Bound",0.06213238462805748,NaN
"SOWE",0.06493569165468216,0.07881485670804977
"CNN",0.07246111333370209,0.06999575346708298
"GRU",0.13774675130844116,0.14229418337345123
"Distribution Mean Operational Upper Bound",0.06213238168891163,NaN
"Distribution Mean SOWE",0.07285586328364832,0.07639481398062851
"Distribution Mean CNN",0.07291856105657271,0.08437807415514435
"Distribution Mean GRU",0.10478952562356844,0.15215027128488232
"LSTM",0.13809597492218018,0.14087577164173126
"Distribution Mean LSTM",0.10499460876378672,0.11197592739284144
