"method","mse"
"Direct",0.0663561224937439
"SOWE",0.06674081087112427
"CNN",0.06718235462903976
"RNN",0.07066445797681808
"Distribution Mean Direct",0.06635611645652997
"Distribution Mean Direct-smoothed",0.06636743143829865
"Distribution Mean SOWE",0.06794612557823515
"Distribution Mean SOWE-smoothed",0.0680232175890777
"Distribution Mean CNN",0.06863270223255383
"Distribution Mean CNN-smoothed",0.06882467782095193
"Distribution Mean RNN",0.07664675511142244
"Distribution Mean RNN-smoothed",0.07728473596794
